,correlation
sqft_living,0.7041244069195599
grade,0.6669019919353726
sqft_above,0.6077750776618873
sqft_living15,0.5850835086347252
hous_val_amt,0.583610984396974
medn_incm_per_prsn_amt,0.554750102545347
bathrooms,0.5297363813583346
per_prfsnl,0.502400415092833
per_bchlr,0.47707441527220673
view,0.39349441028769955
sqft_basement,0.3237390135698859
lat,0.30780237397396737
bedrooms,0.3076109093859008
edctn_prfsnl_qty,0.2927560943456666
medn_hshld_incm_amt,0.27839702066285027
waterfront,0.25787411272449695
floors,0.2552817474286615
edctn_bchlr_dgre_qty,0.21075177813256796
yr_renovated,0.12528217521159674
sqft_lot,0.09174668493794991
sqft_lot15,0.08262174248861351
per_urbn,0.06840954506524927
yr_built,0.05391938379293837
condition,0.034759217383760775
long,0.025441873163887067
per_sbrbn,-0.022194974565756555
sbrbn_ppltn_qty,-0.028393774965527068
per_farm,-0.06363488240508332
per_non_farm,-0.0749255053000986
urbn_ppltn_qty,-0.09320508904084428
farm_ppltn_qty,-0.1026320933922
non_farm_qty,-0.11916416315091909
ppltn_qty,-0.12286000125490155
edctn_some_clg_qty,-0.16156462303643448
per_some_clg,-0.18842585020497518
edctn_assoc_dgre_qty,-0.18928968136050717
per_assoc,-0.23504119906639442
edctn_less_than_9_qty,-0.2500477908954702
per_less_than_9,-0.2594151261838247
edctn_9_12_qty,-0.37330421912937195
edctn_high_schl_qty,-0.387501517838075
per_9_to_12,-0.4153917430825505
per_hsd,-0.4965962518026323
