feature,gain_importance
grade,6480547807232.0
per_bchlr,4674261876736.0
hous_val_amt,4231532904448.0
waterfront,3511381917696.0
per_prfsnl,3094796042240.0
sqft_living,2574405861376.0
medn_incm_per_prsn_amt,1313802813440.0
view,1028684578816.0
lat,487040155648.0
sqft_above,485112479744.0
sqft_living15,325749702656.0
per_less_than_9,318696751104.0
bathrooms,287931662336.0
non_farm_qty,279923654656.0
edctn_prfsnl_qty,272762716160.0
long,268632309760.0
yr_built,246659170304.0
yr_renovated,215463886848.0
sqft_lot,208374726656.0
edctn_assoc_dgre_qty,188736815104.0
urbn_ppltn_qty,177524064256.0
condition,158724440064.0
per_urbn,156654305280.0
sqft_lot15,151006412800.0
edctn_high_schl_qty,150577627136.0
per_hsd,150347153408.0
sqft_basement,144634724352.0
per_farm,132531273728.0
edctn_9_12_qty,131420782592.0
ppltn_qty,130669174784.0
edctn_less_than_9_qty,116494835712.0
medn_hshld_incm_amt,113144913920.0
edctn_bchlr_dgre_qty,108268118016.0
floors,98059968512.0
edctn_some_clg_qty,79604154368.0
per_assoc,77719101440.0
per_9_to_12,75890352128.0
per_some_clg,71363231744.0
bedrooms,62403371008.0
farm_ppltn_qty,60267360256.0
per_non_farm,35508609024.0
sbrbn_ppltn_qty,17703155712.0
per_sbrbn,0.0
